,"https://7esl.com/synonyms/#comments, https://justenglish.me/2014/04/18/synonyms-for-the-96-most-commonly-used-words-in-english/"
support,"help, attend, retain, on, wait, keep, encourage, benefit, back, serve, hold"
suppose,"guess, think, reckon, expect"
sure,certain
survey,"study, review"
take,"hold, catch, win, acquire, pick, choose, select, prefer, remove, steal, lift, rob, purchase, buy, occupy"
tall,"huge, great, broad, substantial, enormous, big, large"
taxi,cab
teach,"instruct, educate"
tear,pull
tell,"say, reveal, show, inform, advise, explain, declare, command, order, repeat"
terrible,"unpleasant, awful, bad, poor"
terrified,"worried, afraid, shy, frightened, scared, shocked"
thin,slim
think,"judge, believe, consider"
thought,"idea, plan, view, opinion"
thunder,"roar, boom, storm"
ticket,"price, effect, note, sign, notice, impress, stamp, brand, mark, label"
tidy,"clean, smart, neat"
tiny,"limited, small, slight, little, minute"
total,whole
trade,business
traditional,"old, ancient, aged, mature, former, old-fashioned, weak"
train,"coach, wagon"
travel,"walk, jog, coast, stir, slide, journey, plug, trip, slip, go, depart, run, breeze, move, sail, tear, ride, drag, hurry, flow, disappear"
trip,journey
trouble,"worry, pain, danger, difficulty, concern, effort"
trust,believe
try,attempt
ugly,"frightening, shocking, horrible, unpleasant, gross, plain"
unbelievable,"extraordinary, incredible, fantastic, amazing, wonderful"
uncomfortable,"unhappy, poor, sad, miserable, depressed"
under,below
unfriendly,"unpleasant, wrong, defective, cross, horrible, nasty, rank, gross, bad"
unhappy,"miserable, uncomfortable, poor, depressed, sad"
uninteresting,"plain, stupid, boring, dead, dull, slow"
unpleasant,"plain, unfriendly, terrible, awful, defective, cross, horrible, wrong, poor, nasty, frightening, shocking, bad"
unusual,"current, irregular, original, new, curious, recent, strange, modern, novel, fresh"
up,"score, fetch, secure, find, obtain, bag, earn, rep, accept, gain, acquire, pick, by, get, catch, win, come, net, collect"
use,"employ, spend, exercise"
usually,generally
valid,"proper, pleasant, superior, qualified, real, safe, capable, exact, great, right, reliable, fine, satisfactory, steady, suitable, friendly, accurate, loyal, profitable, helpful, good, actual, generous, genuine, kindly, excellent, wonderful"
valuable,"well-known, important, principal, essential, necessary, considerable, primary, significant, famous"
value,worth
very,extremely
view,"recognize, for, see, discover, sight, witness, watch, eye, glance, search, survey, notice, thought, plan, explore, examine, study, idea, spy, observe, opinion, peer, inspect, look"
voice,sound
wait,"help, attend, on, encourage, benefit, back, support, serve"
walk,"jog, coast, stir, slide, inch, race, journey, plug, trip, slip, go, run, breeze, move, sail, tear, ride, drag, hurry, travel, flow"
waste,"destroy, end, ruin, kill"
watch,"observe, recognize, for, eye, peer, sight, see, explore, glance, search, examine, survey, inspect, discover, notice, view, study, witness, spy, look"
way,"method, plan, map, arrangement, procedure, diagram, scheme, draw, design"
weak,"old, ancient, aged, traditional, mature, former, old-fashioned"
well-known,"important, principal, essential, valuable, necessary, considerable, primary, significant, famous"
whole,total
wide,broad
win,gain
wing,"fly, sail, cruise, coast"
witness,"observe, recognize, eye, peer, sight, see, explore, glance, search, examine, survey, inspect, discover, notice, view, study, watch, spy, look"
woman,lady
wonderful,amazing
word,expression
worried,"afraid, terrified, frightened, shy, scared, shocked"
worry,"trouble, effort, pain, difficulty, concern, danger"
worth,value
write,record
writer,author
wrong,incorrect
